Month,Year,m3,From,To,Actual Dates
Jan,2019,594,12/23/2018,1/22/2019,No
Feb,2019,256,1/23/2019,2/22/2019,No
Mar,2019,481,2/23/2019,3/22/2019,No
Apr,2019,83,3/23/2019,4/22/2019,No
May,2019,230,4/23/2019,5/22/2019,No
Jun,2019,48,5/23/2019,6/22/2019,No
Jul,2019,43,6/23/2019,7/22/2019,No
Aug,2019,20,7/23/2019,8/22/2019,No
Sep,2019,41,8/23/2019,9/22/2019,No
Oct,2019,34,9/23/2019,10/22/2019,No
Nov,2019,360,10/23/2019,11/22/2019,No
Dec,2019,200,11/23/2019,12/22/2019,No
Jan,2020,445,12/23/2019,1/22/2020,No
Feb,2020,349,1/23/2020,2/22/2020,No
Mar,2020,304,2/23/2020,3/22/2020,No
Apr,2020,326,3/23/2020,4/22/2020,No
May,2020,160,4/23/2020,5/22/2020,No
Jun,2020,94,5/23/2020,6/22/2020,No
Jul,2020,34,6/23/2020,7/23/2020,Yes
Aug,2020,34,7/24/2020,8/21/2020,Yes
Sep,2020,36,8/22/2020,9/23/2020,Yes
Oct,2020,153,9/24/2020,10/22/2020,Yes
Nov,2020,190,10/23/2020,11/23/2020,Yes
Dec,2020,353,11/24/2020,12/21/2020,Yes
Jan,2021,357,12/22/2020,1/22/2021,Yes
Feb,2021,517,1/23/2021,2/20/2021,Yes
Mar,2021,307,2/21/2021,3/23/2021,Yes
Apr,2021,231,3/24/2021,4/20/2021,Yes
May,2021,111,4/21/2021,5/21/2021,Yes
Jun,2021,142,5/22/2021,6/21/2021,Yes
Jul,2021,38,6/22/2021,7/22/2021,Yes
Aug,2021,6,7/23/2021,8/20/2021,Yes
Sep,2021,42,8/21/2021,9/23/2021,Yes
Oct,2021,5,9/24/2021,10/22/2021,Yes
Nov,2021,5,10/23/2021,11/23/2021,Yes
Dec,2021,5,11/24/2021,12/22/2021,Yes
Jan,2022,6,12/23/2021,1/24/2022,Yes
Feb,2022,5,1/25/2022,2/19/2022,Yes
Mar,2022,4,2/20/2022,3/23/2022,Yes
Apr,2022,5,3/23/2022,4/21/2022,Yes
May,2022,5,4/22/2022,5/24/2022,Yes
Jun,2022,5,5/25/2022,6/22/2022,Yes
